,n_est,loss,estimatorsErrors,estimatorsWeights,estimatorsSampleWeights,learning_rate,averageLoss,kerasEpochs,kerasBatchSize,dropout,nn1,keraslr,input_dim,testLoss,meanTestLoss,fullTestLoss,real_n_est
0,15,exponential,"[0.0002141  0.000257   0.00043082 0.00092057 0.00222156 0.00524146
 0.01151688 0.0212104  0.03848989 0.06010928 0.08885505 0.11966178
 0.15178853 0.16920305 0.19555848]","[2.1122141  2.06654306 1.93734999 1.74739948 1.52683074 1.3114752
 1.11308944 0.95795623 0.80452734 0.68739986 0.58192392 0.49890923
 0.43016042 0.39782149 0.3535722 ]","[array([2.34449804e-06, 2.34602258e-06, 2.34454916e-06, ...,
       2.34493768e-06, 2.34499442e-06, 2.34579006e-06]), array([2.45298757e-06, 2.45597467e-06, 2.45296049e-06, ...,
       2.45385709e-06, 2.45372052e-06, 2.45451150e-06]), array([2.78959971e-06, 2.79443967e-06, 2.78949064e-06, ...,
       2.79093822e-06, 2.79097388e-06, 2.79213111e-06]), array([3.36920854e-06, 3.37712324e-06, 3.36908850e-06, ...,
       3.37159381e-06, 3.37248453e-06, 3.37303012e-06]), array([4.19023021e-06, 4.20279736e-06, 4.19007589e-06, ...,
       4.19366907e-06, 4.19504131e-06, 4.19643205e-06]), array([5.16969085e-06, 5.18812580e-06, 5.16943931e-06, ...,
       5.17406878e-06, 5.17612582e-06, 5.17800144e-06]), array([6.23945089e-06, 6.27331453e-06, 6.23916595e-06, ...,
       6.24545251e-06, 6.24834985e-06, 6.25133698e-06]), array([7.15614507e-06, 7.19628894e-06, 7.15564939e-06, ...,
       7.16336886e-06, 7.16742015e-06, 7.17106998e-06]), array([8.12259794e-06, 8.16857121e-06, 8.12202011e-06, ...,
       8.13087701e-06, 8.13551193e-06, 8.13969864e-06]), array([8.77969907e-06, 8.82965539e-06, 8.77907507e-06, ...,
       8.78864870e-06, 8.79367785e-06, 8.79821075e-06]), array([9.27877856e-06, 9.33172756e-06, 9.27810271e-06, ...,
       9.28823949e-06, 9.29355004e-06, 9.29835826e-06]), array([9.49047478e-06, 9.54469479e-06, 9.48978536e-06, ...,
       9.50015584e-06, 9.50560310e-06, 9.51050661e-06]), array([9.50083567e-06, 9.56016756e-06, 9.50012614e-06, ...,
       9.51052891e-06, 9.51604572e-06, 9.52165803e-06]), array([9.12965195e-06, 9.18721781e-06, 9.12899249e-06, ...,
       9.13905539e-06, 9.14436324e-06, 9.14975627e-06]), array([1.26356236e-05, 1.27152959e-05, 1.26347109e-05, ...,
       1.26486381e-05, 1.26559843e-05, 1.26634484e-05]), array([1.26356236e-05, 1.27152959e-05, 1.26347109e-05, ...,
       1.26486381e-05, 1.26559843e-05, 1.26634484e-05])]",0.25,[],100,10000,0.1,8,0.7,21,1177.2834493470373,0.09125520884792165,5886.052225899794,15
1,20,exponential,"[2.12883872e-04 4.32580773e-04 2.51610673e-03 1.29032245e-02
 4.47542796e-02 1.04324420e-01 1.74540840e-01 1.58314334e-01
 2.26774396e-01 2.86736782e-01 2.84746603e-01 3.77597928e-01
 2.48929677e-01 3.54192078e-01 2.60438733e-01 4.92562415e-01
 4.09063005e-01 3.17315867e-01 3.40701789e-01 4.04062140e-01]","[4.22727542 3.87265441 2.99126162 2.16864542 1.53039077 1.0750364
 0.77689052 0.83541206 0.61330759 0.45564293 0.46051861 0.24987818
 0.55216443 0.30033138 0.52184474 0.01487627 0.18392011 0.38306729
 0.33008419 0.19428386]","[array([2.82857089e-07, 2.83123590e-07, 2.82825896e-07, ...,
       2.82957914e-07, 2.82970230e-07, 2.82916729e-07]), array([4.02836710e-07, 4.03535883e-07, 4.02768255e-07, ...,
       4.03055907e-07, 4.03056936e-07, 4.03028298e-07]), array([9.68549801e-07, 9.71163804e-07, 9.68410656e-07, ...,
       9.69240293e-07, 9.69359467e-07, 9.69483806e-07]), array([2.16140715e-06, 2.17040852e-06, 2.16109088e-06, ...,
       2.16294948e-06, 2.16372268e-06, 2.16365058e-06]), array([3.88534485e-06, 3.90578730e-06, 3.88476969e-06, ...,
       3.88813188e-06, 3.88960010e-06, 3.88946747e-06]), array([5.49819005e-06, 5.52796573e-06, 5.49737712e-06, ...,
       5.50213499e-06, 5.50421811e-06, 5.50410567e-06]), array([6.38729666e-06, 6.42540806e-06, 6.38635669e-06, ...,
       6.39189516e-06, 6.39461363e-06, 6.39431256e-06]), array([5.13095165e-06, 5.16247781e-06, 5.13018999e-06, ...,
       5.13464171e-06, 5.13686262e-06, 5.13660851e-06]), array([5.53530673e-06, 5.57039561e-06, 5.53448578e-06, ...,
       5.53928960e-06, 5.54168536e-06, 5.54144042e-06]), array([5.57859904e-06, 5.61822627e-06, 5.57777210e-06, ...,
       5.58261297e-06, 5.58502887e-06, 5.58478148e-06]), array([4.83753785e-06, 4.87370361e-06, 4.83682383e-06, ...,
       4.84102077e-06, 4.84314799e-06, 4.84291116e-06]), array([5.20910239e-06, 5.25067983e-06, 5.20833312e-06, ...,
       5.21285256e-06, 5.21514497e-06, 5.21489743e-06]), array([3.49566348e-06, 3.52467522e-06, 3.49514924e-06, ...,
       3.49819051e-06, 3.49973297e-06, 3.49956370e-06]), array([3.90296586e-06, 3.93722775e-06, 3.90239830e-06, ...,
       3.90579324e-06, 3.90761246e-06, 3.90732756e-06]), array([2.80644042e-06, 2.83123094e-06, 2.80602966e-06, ...,
       2.80844515e-06, 2.80979180e-06, 2.80958354e-06]), array([4.05514220e-06, 4.09140918e-06, 4.05454841e-06, ...,
       4.05803878e-06, 4.05998514e-06, 4.05974819e-06]), array([3.39953353e-06, 3.43242424e-06, 3.39903578e-06, ...,
       3.40196239e-06, 3.40360098e-06, 3.40340655e-06]), array([2.58202414e-06, 2.60765054e-06, 2.58164647e-06, ...,
       2.58387769e-06, 2.58512661e-06, 2.58499228e-06]), array([2.40686343e-06, 2.43621095e-06, 2.40651206e-06, ...,
       2.40859182e-06, 2.40975816e-06, 2.40963529e-06]), array([2.98814032e-06, 3.02457550e-06, 2.98770409e-06, ...,
       2.99028612e-06, 2.99173415e-06, 2.99158161e-06]), array([2.98814032e-06, 3.02457550e-06, 2.98770409e-06, ...,
       2.99028612e-06, 2.99173415e-06, 2.99158161e-06])]",0.5,[],300,25000,0.1,8,0.3,21,1204.0743398850914,0.09333186108713211,6019.998371981108,20
2,15,exponential,"[0.0002059  0.00022602 0.00024482 0.00028942 0.00033312 0.00041812
 0.00056151 0.00075786 0.00102909 0.00144955 0.00206196 0.00287273
 0.0040701  0.00553811 0.00605484]","[0.84879334 0.83946553 0.83147306 0.81473297 0.80066625 0.77793277
 0.74843108 0.71842547 0.6878046  0.65350512 0.61820334 0.58496167
 0.55000097 0.51905487 0.51008239]","[array([8.29348175e-06, 8.29492870e-06, 8.29352655e-06, ...,
       8.29398525e-06, 8.29426608e-06, 8.29459106e-06]), array([8.36985688e-06, 8.37350355e-06, 8.36989042e-06, ...,
       8.37094418e-06, 8.37116650e-06, 8.37252698e-06]), array([8.43550427e-06, 8.44057197e-06, 8.43572241e-06, ...,
       8.43748350e-06, 8.43739303e-06, 8.43938387e-06]), array([8.57618255e-06, 8.58321547e-06, 8.57644503e-06, ...,
       8.57864559e-06, 8.57896775e-06, 8.58109954e-06]), array([8.69556611e-06, 8.70447082e-06, 8.69583538e-06, ...,
       8.69885752e-06, 8.69888854e-06, 8.70123139e-06]), array([8.89300286e-06, 8.90373267e-06, 8.89325386e-06, ...,
       8.89689661e-06, 8.89697985e-06, 8.89921639e-06]), array([9.15597875e-06, 9.17073765e-06, 9.15639262e-06, ...,
       9.16071512e-06, 9.16096037e-06, 9.16312682e-06]), array([9.43045054e-06, 9.44863705e-06, 9.43109378e-06, ...,
       9.43582799e-06, 9.43644749e-06, 9.43918309e-06]), array([9.71758235e-06, 9.73929425e-06, 9.71836795e-06, ...,
       9.72398876e-06, 9.72462918e-06, 9.72812687e-06]), array([1.00483448e-05, 1.00730425e-05, 1.00492007e-05, ...,
       1.00552326e-05, 1.00567421e-05, 1.00594641e-05]), array([1.03979359e-05, 1.04256017e-05, 1.03986890e-05, ...,
       1.04054731e-05, 1.04068374e-05, 1.04108142e-05]), array([1.07332676e-05, 1.07628354e-05, 1.07340771e-05, ...,
       1.07418696e-05, 1.07433277e-05, 1.07470474e-05]), array([1.10932080e-05, 1.11263951e-05, 1.10940994e-05, ...,
       1.11027229e-05, 1.11038618e-05, 1.11083628e-05]), array([1.14121459e-05, 1.14481173e-05, 1.14128726e-05, ...,
       1.14224848e-05, 1.14235272e-05, 1.14285199e-05]), array([1.91131796e-05, 1.91734250e-05, 1.91143968e-05, ...,
       1.91304954e-05, 1.91322412e-05, 1.91406030e-05]), array([1.91131796e-05, 1.91734250e-05, 1.91143968e-05, ...,
       1.91304954e-05, 1.91322412e-05, 1.91406030e-05])]",0.1,[],200,25000,0.1,8,0.7,21,1172.0054160266561,0.09084609069271034,5859.66369577051,15
3,20,exponential,"[0.00020555 0.00023417 0.0002544  0.00028805 0.00034472 0.00042758
 0.00055975 0.00074582 0.00103578 0.00145027 0.00203535 0.00285131
 0.00397223 0.00547829 0.00746263 0.01000342 0.01320091 0.01711875
 0.02169472 0.02678366]","[0.84896219 0.83592246 0.82763532 0.81520754 0.79724435 0.77569439
 0.74874519 0.72002861 0.68715605 0.6534552  0.61950522 0.58571198
 0.55244486 0.52014697 0.48903566 0.45947745 0.43141804 0.40503142
 0.38087528 0.35928142]","[array([8.29215979e-06, 8.29287242e-06, 8.29207309e-06, ...,
       8.29293448e-06, 8.29278128e-06, 8.29234702e-06]), array([8.39987403e-06, 8.40170244e-06, 8.39970696e-06, ...,
       8.40135393e-06, 8.40090032e-06, 8.40074628e-06]), array([8.46832646e-06, 8.47111711e-06, 8.46818674e-06, ...,
       8.47035831e-06, 8.47012900e-06, 8.46968843e-06]), array([8.57261896e-06, 8.57688083e-06, 8.57238752e-06, ...,
       8.57500875e-06, 8.57502252e-06, 8.57490183e-06]), array([8.72618834e-06, 8.73182056e-06, 8.72581485e-06, ...,
       8.72895854e-06, 8.72915668e-06, 8.72902694e-06]), array([8.91393199e-06, 8.92094210e-06, 8.91347217e-06, ...,
       8.91719119e-06, 8.91783199e-06, 8.91737245e-06]), array([9.15430603e-06, 9.16324588e-06, 9.15375260e-06, ...,
       9.15815585e-06, 9.15848729e-06, 9.15844580e-06]), array([9.41675868e-06, 9.42706901e-06, 9.41611242e-06, ...,
       9.42122867e-06, 9.42186811e-06, 9.42165868e-06]), array([9.72558481e-06, 9.73772928e-06, 9.72500591e-06, ...,
       9.73127456e-06, 9.73142482e-06, 9.73170047e-06]), array([1.00506613e-05, 1.00652367e-05, 1.00501053e-05, ...,
       1.00567669e-05, 1.00574225e-05, 1.00581300e-05]), array([1.03862796e-05, 1.04033383e-05, 1.03856947e-05, ...,
       1.03928075e-05, 1.03938742e-05, 1.03948697e-05]), array([1.07273735e-05, 1.07467917e-05, 1.07267867e-05, ...,
       1.07341682e-05, 1.07356955e-05, 1.07369497e-05]), array([1.10686215e-05, 1.10921169e-05, 1.10680976e-05, ...,
       1.10761293e-05, 1.10783737e-05, 1.10792962e-05]), array([1.14026923e-05, 1.14281173e-05, 1.14021551e-05, ...,
       1.14110799e-05, 1.14129197e-05, 1.14147801e-05]), array([1.17244210e-05, 1.17515058e-05, 1.17236569e-05, ...,
       1.17334133e-05, 1.17357017e-05, 1.17377143e-05]), array([1.20254115e-05, 1.20558490e-05, 1.20247145e-05, ...,
       1.20350858e-05, 1.20376282e-05, 1.20416732e-05]), array([1.23028695e-05, 1.23378020e-05, 1.23020995e-05, ...,
       1.23127783e-05, 1.23155852e-05, 1.23199834e-05]), array([1.25504045e-05, 1.25908285e-05, 1.25496060e-05, ...,
       1.25605184e-05, 1.25635764e-05, 1.25683019e-05]), array([1.27571853e-05, 1.28044346e-05, 1.27565341e-05, ...,
       1.27680576e-05, 1.27711103e-05, 1.27760620e-05]), array([1.84988342e-05, 1.85673490e-05, 1.84978899e-05, ...,
       1.85145998e-05, 1.85190264e-05, 1.85262067e-05]), array([1.84988342e-05, 1.85673490e-05, 1.84978899e-05, ...,
       1.85145998e-05, 1.85190264e-05, 1.85262067e-05])]",0.1,[],200,25000,0.1,10,0.3,21,1193.3670192535917,0.09250190057000168,5966.465088665678,20
4,15,exponential,"[0.00020335 0.00022339 0.00024219 0.00028406 0.00034217 0.00043171
 0.00055194 0.00074786 0.00104858 0.00145256 0.00205529 0.00288022
 0.00408127 0.00560832 0.00759429]","[0.85003618 0.84063462 0.83255278 0.81660578 0.79798567 0.77473194
 0.75015193 0.71975503 0.68592686 0.65329735 0.61852802 0.58470031
 0.54972567 0.51778794 0.48727355]","[array([8.28317346e-06, 8.28467554e-06, 8.28311344e-06, ...,
       8.28358308e-06, 8.28341201e-06, 8.28410111e-06]), array([8.36017377e-06, 8.36349055e-06, 8.35998825e-06, ...,
       8.36092058e-06, 8.36074108e-06, 8.36184732e-06]), array([8.42654950e-06, 8.43117461e-06, 8.42645303e-06, ...,
       8.42777842e-06, 8.42769294e-06, 8.42903179e-06]), array([8.56031417e-06, 8.56659161e-06, 8.56024840e-06, ...,
       8.56199855e-06, 8.56218514e-06, 8.56426540e-06]), array([8.71916369e-06, 8.72760873e-06, 8.71913394e-06, ...,
       8.72135929e-06, 8.72206820e-06, 8.72444317e-06]), array([8.92182258e-06, 8.93249621e-06, 8.92176447e-06, ...,
       8.92455840e-06, 8.92515501e-06, 8.92850356e-06]), array([9.14048020e-06, 9.15420332e-06, 9.14043202e-06, ...,
       9.14381651e-06, 9.14456013e-06, 9.14841487e-06]), array([9.41819036e-06, 9.43428423e-06, 9.41818317e-06, ...,
       9.42229423e-06, 9.42293519e-06, 9.42783277e-06]), array([9.73625269e-06, 9.75509854e-06, 9.73622393e-06, ...,
       9.74077584e-06, 9.74178756e-06, 9.74757258e-06]), array([1.00508129e-05, 1.00721132e-05, 1.00507552e-05, ...,
       1.00558539e-05, 1.00572920e-05, 1.00633924e-05]), array([1.03948564e-05, 1.04195542e-05, 1.03947575e-05, ...,
       1.04002934e-05, 1.04019559e-05, 1.04081171e-05]), array([1.07364472e-05, 1.07640006e-05, 1.07363371e-05, ...,
       1.07421846e-05, 1.07447126e-05, 1.07510380e-05]), array([1.10966190e-05, 1.11301136e-05, 1.10965592e-05, ...,
       1.11042446e-05, 1.11057189e-05, 1.11120843e-05]), array([1.14268894e-05, 1.14639852e-05, 1.14267048e-05, ...,
       1.14350759e-05, 1.14370594e-05, 1.14440278e-05]), array([1.91130653e-05, 1.91751132e-05, 1.91127565e-05, ...,
       1.91267583e-05, 1.91300759e-05, 1.91417316e-05]), array([1.91130653e-05, 1.91751132e-05, 1.91127565e-05, ...,
       1.91267583e-05, 1.91300759e-05, 1.91417316e-05])]",0.1,[],100,10000,0.1,10,0.5,21,1171.8350763324092,0.09083288708878454,5858.812050113691,15
5,10,exponential,"[0.00020717 0.00023157 0.00025684 0.00028604 0.00034931 0.00043683
 0.00056034 0.00074848 0.00104198 0.001449  ]","[0.84817509 0.83704155 0.82667867 0.81590984 0.79591935 0.77355237
 0.74864051 0.71967146 0.68655946 0.653543  ]","[array([8.29849135e-06, 8.30086492e-06, 8.29898142e-06, ...,
       8.29935398e-06, 8.29933208e-06, 8.29891625e-06]), array([8.39063998e-06, 8.39421017e-06, 8.39057355e-06, ...,
       8.39195606e-06, 8.39144161e-06, 8.39101400e-06]), array([8.47654749e-06, 8.48212450e-06, 8.47640229e-06, ...,
       8.47909340e-06, 8.47833184e-06, 8.47743452e-06]), array([8.56656576e-06, 8.57445978e-06, 8.56636136e-06, ...,
       8.57000582e-06, 8.56925533e-06, 8.56786479e-06]), array([8.73748635e-06, 8.74744475e-06, 8.73726111e-06, ...,
       8.74181828e-06, 8.74114904e-06, 8.73996591e-06]), array([8.93251657e-06, 8.94590498e-06, 8.93238774e-06, ...,
       8.93817688e-06, 8.93737096e-06, 8.93665887e-06]), array([9.15443198e-06, 9.17056127e-06, 9.15463063e-06, ...,
       9.16082571e-06, 9.16045905e-06, 9.15968510e-06]), array([9.41905184e-06, 9.43927203e-06, 9.41928666e-06, ...,
       9.42613631e-06, 9.42676089e-06, 9.42575710e-06]), array([9.73022358e-06, 9.75362383e-06, 9.73058289e-06, ...,
       9.73936405e-06, 9.73879233e-06, 9.73807456e-06]), array([1.93163070e-05, 1.93627608e-05, 1.93170203e-05, ...,
       1.93344525e-05, 1.93333175e-05, 1.93318926e-05]), array([1.93163070e-05, 1.93627608e-05, 1.93170203e-05, ...,
       1.93344525e-05, 1.93333175e-05, 1.93318926e-05])]",0.1,[],100,10000,0.1,12,0.7,21,1179.1782654477481,0.0914020824314199,5895.525718909014,10
6,15,exponential,"[2.09006350e-04 4.30465083e-04 2.57496313e-03 1.45542237e-02
 4.73341372e-02 8.43873171e-02 1.63391344e-01 6.84851967e-02
 2.31951469e-01 3.17731525e-01 1.16983759e-01 2.42982629e-01
 2.58785318e-01 2.10471653e-01 1.89491569e-01]","[4.23646845 3.87510689 2.97967089 2.10760643 1.50101624 1.19208816
 0.8166041  1.30509723 0.59866238 0.38210824 1.01065424 0.56819812
 0.52614574 0.66104238 0.72665861]","[array([2.80231237e-07, 2.80412773e-07, 2.80229365e-07, ...,
       2.80420550e-07, 2.80334307e-07, 2.80404712e-07]), array([4.01774477e-07, 4.02312936e-07, 4.01753564e-07, ...,
       4.02163233e-07, 4.01940961e-07, 4.02179301e-07]), array([9.79588532e-07, 9.81966028e-07, 9.79554584e-07, ...,
       9.80879494e-07, 9.80448747e-07, 9.80794669e-07]), array([2.29635923e-06, 2.30534905e-06, 2.29629208e-06, ...,
       2.30095384e-06, 2.29865932e-06, 2.29963460e-06]), array([3.96407083e-06, 3.98125086e-06, 3.96396713e-06, ...,
       3.97239012e-06, 3.96808059e-06, 3.97309334e-06]), array([4.84774777e-06, 4.86890662e-06, 4.84761673e-06, ...,
       4.85794432e-06, 4.85276372e-06, 4.85888823e-06]), array([6.21270797e-06, 6.24143352e-06, 6.21239708e-06, ...,
       6.22591561e-06, 6.21927728e-06, 6.22717645e-06]), array([3.25215582e-06, 3.26724794e-06, 3.25198325e-06, ...,
       3.25906891e-06, 3.25564120e-06, 3.25973273e-06]), array([5.98419077e-06, 6.02275220e-06, 5.98387099e-06, ...,
       5.99691023e-06, 5.99060209e-06, 5.99971136e-06]), array([6.38708992e-06, 6.43384315e-06, 6.38674862e-06, ...,
       6.40066575e-06, 6.39393366e-06, 6.41449381e-06]), array([2.99630817e-06, 3.01842310e-06, 2.99614806e-06, ...,
       3.00267686e-06, 2.99951905e-06, 3.00916522e-06]), array([4.12263942e-06, 4.15320518e-06, 4.12244197e-06, ...,
       4.13141770e-06, 4.12707271e-06, 4.14816239e-06]), array([3.72429070e-06, 3.75267847e-06, 3.72411419e-06, ...,
       3.73222271e-06, 3.72829572e-06, 3.75459340e-06]), array([2.82766193e-06, 2.84928317e-06, 2.82752720e-06, ...,
       2.83368527e-06, 2.83071362e-06, 2.85067262e-06]), array([4.74747096e-06, 4.78377169e-06, 4.74724475e-06, ...,
       4.75758376e-06, 4.75259456e-06, 4.78610449e-06]), array([4.74747096e-06, 4.78377169e-06, 4.74724475e-06, ...,
       4.75758376e-06, 4.75259456e-06, 4.78610449e-06])]",0.5,[],300,25000,0.1,8,0.7,21,1193.1302122138095,0.09248354485805825,5965.281126889615,15
7,10,exponential,"[2.01152589e-04 4.55383390e-04 2.51354510e-03 1.45564163e-02
 4.35043256e-02 9.61141831e-02 1.71598655e-01 1.24283182e-01
 2.68637088e-01 3.32842400e-01]","[4.25562281 3.8469577  2.99177221 2.10753    1.54520795 1.12058308
 0.7871697  0.97624004 0.50077422 0.3476786 ]","[array([2.74953624e-07, 2.75094690e-07, 2.74927189e-07, ...,
       2.75044552e-07, 2.75008311e-07, 2.75022110e-07]), array([4.13334413e-07, 4.13913261e-07, 4.13289361e-07, ...,
       4.13576200e-07, 4.13617280e-07, 4.13751360e-07]), array([9.67985221e-07, 9.69993164e-07, 9.67868595e-07, ...,
       9.68650494e-07, 9.68854927e-07, 9.69242178e-07]), array([2.29747506e-06, 2.30484240e-06, 2.29719846e-06, ...,
       2.29905781e-06, 2.29973001e-06, 2.30071019e-06]), array([3.79443830e-06, 3.81716452e-06, 3.79398099e-06, ...,
       3.79705220e-06, 3.79823275e-06, 3.79998251e-06]), array([5.25172394e-06, 5.28435960e-06, 5.25136364e-06, ...,
       5.25591204e-06, 5.25885830e-06, 5.26148953e-06]), array([6.36831798e-06, 6.41146282e-06, 6.36787514e-06, ...,
       6.37340175e-06, 6.37705911e-06, 6.38114392e-06]), array([4.48953608e-06, 4.52359101e-06, 4.48917859e-06, ...,
       4.49326924e-06, 4.49577055e-06, 4.49873002e-06]), array([6.32102796e-06, 6.37129120e-06, 6.32052267e-06, ...,
       6.32628805e-06, 6.32982705e-06, 6.33398889e-06]), array([9.01987264e-06, 9.09159642e-06, 9.01915162e-06, ...,
       9.02737860e-06, 9.03242862e-06, 9.03836742e-06]), array([9.01987264e-06, 9.09159642e-06, 9.01915162e-06, ...,
       9.02737860e-06, 9.03242862e-06, 9.03836742e-06])]",0.5,[],100,25000,0.1,10,0.5,21,1184.3926558503194,0.0918062674095279,5921.596054181959,10
8,10,exponential,"[0.00021188 0.00027152 0.00043473 0.00091608 0.00219551 0.0052678
 0.01154042 0.01945251 0.03649368 0.05913343]","[2.114817   2.0528008  1.93509003 1.74862349 1.52978585 1.31021525
 1.11257311 0.9800338  0.81835997 0.69175123]","[array([2.33847946e-06, 2.33952094e-06, 2.33846000e-06, ...,
       2.33876855e-06, 2.33913526e-06, 2.33908607e-06]), array([2.48699708e-06, 2.48975783e-06, 2.48700030e-06, ...,
       2.48773222e-06, 2.48841815e-06, 2.48875860e-06]), array([2.79583450e-06, 2.80043610e-06, 2.79585244e-06, ...,
       2.79719725e-06, 2.79806722e-06, 2.79872643e-06]), array([3.36499195e-06, 3.37291984e-06, 3.36503835e-06, ...,
       3.36687341e-06, 3.36867881e-06, 3.36993650e-06]), array([4.17780932e-06, 4.18902236e-06, 4.17787551e-06, ...,
       4.18063839e-06, 4.18298922e-06, 4.18436642e-06]), array([5.17641750e-06, 5.19266768e-06, 5.17641298e-06, ...,
       5.18024220e-06, 5.18303301e-06, 5.18510092e-06]), array([6.24292764e-06, 6.26734841e-06, 6.24286039e-06, ...,
       6.24768549e-06, 6.25168625e-06, 6.25478306e-06]), array([6.99991144e-06, 7.03371537e-06, 6.99982903e-06, ...,
       7.00530943e-06, 7.01001311e-06, 7.01336493e-06]), array([8.02768479e-06, 8.07057910e-06, 8.02759265e-06, ...,
       8.03390015e-06, 8.03945801e-06, 8.04324578e-06]), array([1.75164365e-05, 1.76100320e-05, 1.75162354e-05, ...,
       1.75299984e-05, 1.75421257e-05, 1.75503906e-05]), array([1.75164365e-05, 1.76100320e-05, 1.75162354e-05, ...,
       1.75299984e-05, 1.75421257e-05, 1.75503906e-05])]",0.25,[],200,25000,0.1,8,0.5,21,1176.15576787109,0.09116779845524299,5880.414168161628,10
9,20,exponential,"[2.03899519e-04 4.41211713e-04 2.54391167e-03 1.45123656e-02
 5.02965551e-02 1.12119596e-01 1.16951910e-01 1.31323587e-01
 2.14249706e-01 1.63951160e-01 3.42488978e-01 2.99718474e-01
 3.17876199e-01 2.01891116e-01 2.74733089e-01 4.16656639e-01
 4.15821673e-01 7.70294977e-02 7.44194652e-02 2.99688830e-01]","[4.24883966 3.86277221 2.9857526  2.10906775 1.46910659 1.03463547
 1.01080842 0.94465314 0.64974843 0.81455923 0.32611103 0.42431941
 0.38177459 0.68725826 0.48536985 0.16825675 0.1699749  1.24170442
 1.2603518  0.42439003]","[array([2.76799162e-07, 2.77041687e-07, 2.76790975e-07, ...,
       2.76866343e-07, 2.76886729e-07, 2.76953353e-07]), array([4.06773148e-07, 4.07626370e-07, 4.06784744e-07, ...,
       4.07069913e-07, 4.07058604e-07, 4.07206061e-07]), array([9.73635445e-07, 9.76279459e-07, 9.73685324e-07, ...,
       9.74695949e-07, 9.74479085e-07, 9.75300539e-07]), array([2.29314490e-06, 2.30083031e-06, 2.29324031e-06, ...,
       2.29616975e-06, 2.29518301e-06, 2.29829681e-06]), array([4.09326918e-06, 4.11168970e-06, 4.09335375e-06, ...,
       4.09901811e-06, 4.09739084e-06, 4.10269283e-06]), array([5.63972982e-06, 5.66970819e-06, 5.63982968e-06, ...,
       5.64787910e-06, 5.64539505e-06, 5.65745515e-06]), array([4.96584464e-06, 4.99439224e-06, 4.96597712e-06, ...,
       4.97313102e-06, 4.97118148e-06, 4.98199818e-06]), array([4.63214757e-06, 4.66499245e-06, 4.63226625e-06, ...,
       4.63894135e-06, 4.63790359e-06, 4.64756707e-06]), array([5.42654626e-06, 5.46522892e-06, 5.42668735e-06, ...,
       5.43450575e-06, 5.43330133e-06, 5.44462605e-06]), array([3.95921319e-06, 3.98794012e-06, 3.95931523e-06, ...,
       3.96502275e-06, 3.96415348e-06, 3.97241319e-06]), array([5.60274967e-06, 5.64654156e-06, 5.60290230e-06, ...,
       5.61098495e-06, 5.60988737e-06, 5.62146003e-06]), array([4.52332631e-06, 4.56441869e-06, 4.52335428e-06, ...,
       4.52999939e-06, 4.52903030e-06, 4.53883817e-06]), array([4.13803291e-06, 4.17596342e-06, 4.13805801e-06, ...,
       4.14413732e-06, 4.14325755e-06, 4.15222758e-06]), array([2.69153165e-06, 2.71641035e-06, 2.69154810e-06, ...,
       2.69550226e-06, 2.69493238e-06, 2.70076451e-06]), array([2.85668830e-06, 2.88341186e-06, 2.85670707e-06, ...,
